/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_brain_out/counts_brain_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_heart_out/counts_heart_tophat_htseq.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/tophat_kidney_out/counts_kidney_tophat_htseq.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_brain_out/count_brain.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_heart_out/count_heart.txt	/proj/b2010078/PublicDataProject/RNASeqAtlas/project_tophat_output/tophat_kidney_out/count_kidney.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030882_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030886_tophat_output/count.txt	/proj/b2010078/PublicDataProject/BodyMap/ERR030885_tophat_output/count.txt	/proj/b2010078/PublicDataProject/HPA/count_brain_3b.txt	/proj/b2010078/PublicDataProject/HPA/count_heart_6a.txt	/proj/b2010078/PublicDataProject/HPA/count_kidney_a.txt	/proj/b2010078/PublicDataProject/Wang/brain_counts.txt	/proj/b2010078/PublicDataProject/Wang/heart_counts.txt	/proj/b2010078/PublicDataProject/EvolutionOfGeneExpression/count_brain.txt
ENSG00000080910	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000080947	196	117	81	33	30	53	303	184	336	177	30	42	32	14
ENSG00000080986	2	2	2	4	18	16	26	62	110	18	4	3	1	5
ENSG00000081014	139	109	122	224	245	180	1184	1377	1222	520	185	229	63	46
ENSG00000081019	232	64	95	795	694	734	3305	1686	2576	649	242	510	212	87
ENSG00000081026	463	85	236	1294	453	1082	2975	929	2823	742	190	690	302	54
ENSG00000081041	1	30	6	63	155	56	69	373	347	129	194	13	2	38
ENSG00000081051	0	20	13	3	0	16	31	0	10	3	0	82	0	0
ENSG00000081052	22	311	478	46	273	777	152	1380	7830	252	685	1157	16	107
ENSG00000081059	50	38	31	43	61	60	301	240	238	88	78	30	29	41
ENSG00000081087	281	146	307	862	946	577	3786	4291	6143	997	543	727	188	237
ENSG00000081138	66	1	0	240	5	2	313	10	26	37	2	2	26	0
ENSG00000081148	0	1	4	35	9	9	12	13	32	11	8	2	0	1
ENSG00000081154	1098	227	469	954	737	628	19653	10788	14274	3329	1662	1789	684	593
ENSG00000081177	514	215	260	381	139	193	2076	1393	2271	1589	311	446	384	101
ENSG00000081181	75	12	217	67	29	159	235	59	2301	52	2	464	32	8
ENSG00000081189	5004	349	126	5746	1499	535	37254	4288	2056	4315	1415	422	4794	314
ENSG00000081237	44	70	134	708	1028	332	1480	1025	1367	439	255	224	81	85
ENSG00000081248	23	0	11	12	4	0	30	0	32	29	5	8	7	0
ENSG00000081277	33	20	6	0	8	12	45	165	130	23	0	42	9	36
ENSG00000081307	473	156	412	438	349	530	4637	3344	5389	1682	451	748	219	170
ENSG00000081320	60	25	42	139	327	240	582	1922	2838	605	118	292	45	118
ENSG00000081377	374	282	445	459	464	463	3231	2464	2718	1903	530	881	196	139
ENSG00000081386	229	77	61	475	244	288	1844	860	1247	926	177	226	132	58
ENSG00000081479	1235	27	18267	609	4	29662	7141	27	14175	840	3	13684	382	4
ENSG00000081665	204	87	82	608	617	951	1256	981	1709	685	136	195	163	36
ENSG00000081692	77	62	53	5	15	14	141	126	190	95	75	47	43	15
ENSG00000081721	129	76	122	100	66	133	706	299	786	404	63	115	53	28
ENSG00000081760	1563	633	695	466	192	305	2642	1072	2432	580	231	467	480	176
ENSG00000081791	561	1548	1115	155	212	232	1556	4778	4232	2197	1789	964	290	646
ENSG00000081800	0	0	2100	1	0	2180	4	0	1352	11	2	4011	3	0
ENSG00000081803	1066	145	567	531	287	816	8821	1846	5915	988	312	1370	522	95
ENSG00000081818	112	37	10	318	68	39	2039	264	462	165	50	65	90	20
ENSG00000081842	96	1	18	50	2	12	148	7	35	31	0	15	26	0
ENSG00000081853	63	109	17	99	58	13	347	341	68	396	86	39	45	35
ENSG00000081870	117	25	73	82	22	44	883	403	1176	211	108	167	100	65
ENSG00000081913	2215	160	198	1042	84	126	6859	724	1017	4806	126	256	1214	79
ENSG00000081923	46	77	201	84	833	728	411	872	2936	72	270	582	12	55
ENSG00000081985	68	9	7	174	13	22	265	80	153	65	2	14	56	3
ENSG00000082014	1690	1019	239	685	916	264	3683	2378	1824	2090	1602	230	782	597
ENSG00000082068	220	102	234	322	280	404	1007	873	1237	702	208	255	107	67
ENSG00000082074	24	14	40	775	528	224	972	221	361	233	49	83	83	21
ENSG00000082126	9	7	7	7	10	5	39	18	62	12	3	5	3	0
ENSG00000082146	161	264	509	49	107	204	2053	5743	3278	1071	409	1203	77	188
ENSG00000082153	886	250	718	1818	1208	1329	10428	6698	15649	4712	1321	2284	440	237
ENSG00000082175	25	141	34	102	539	121	278	3087	609	53	402	119	7	149
ENSG00000082196	104	19	60	54	11	44	572	107	1078	359	20	80	48	5
ENSG00000082212	435	482	246	1491	1578	702	3527	6088	3543	1270	1373	493	269	488
ENSG00000082213	259	99	182	725	469	323	2749	1770	2110	656	250	314	187	99
ENSG00000082258	458	209	212	408	274	391	3520	2158	4474	1944	531	505	109	100
ENSG00000082269	276	72	143	1449	765	993	2555	1472	2998	1148	264	391	139	53
ENSG00000082293	49	9	33	77	44	138	134	185	24	43	53	140	18	16
ENSG00000082397	5178	138	2459	8127	2038	3392	22865	1394	5533	3706	465	2414	3045	167
ENSG00000082438	183	137	1265	604	569	4682	1628	1802	18469	555	308	3649	152	115
ENSG00000082458	2186	180	522	1160	137	358	5371	696	3308	1314	320	600	1073	101
ENSG00000082482	133	0	0	324	8	15	720	38	124	331	0	26	48	1
ENSG00000082497	121	29	23	78	48	72	1202	176	449	203	184	161	139	10
ENSG00000082512	179	67	111	116	120	121	656	410	1407	140	146	107	32	25
ENSG00000082515	154	179	303	141	202	178	1287	1950	1831	234	246	305	185	261
ENSG00000082516	206	220	145	319	185	167	964	1904	1273	668	315	343	152	141
ENSG00000082556	102	5	0	102	1	0	656	15	7	85	18	0	41	3
ENSG00000082641	5980	11761	10780	3992	4340	3944	17308	57891	23210	4706	14239	8804	3297	12040
ENSG00000082684	379	226	88	39	16	25	322	294	247	808	173	115	127	52
ENSG00000082701	1441	461	507	3387	1458	1324	9777	6288	4684	3335	973	994	1059	357
ENSG00000082781	429	1796	1913	174	353	295	2151	6327	8406	1031	1947	2184	268	1014
ENSG00000082805	752	715	703	4614	2685	2583	3058	5226	4869	1644	1296	1288	550	633
ENSG00000082898	1180	432	619	2048	2173	1940	7775	7729	14895	4962	1295	1551	591	464
ENSG00000082929	0	0	2	0	0	4	0	0	13	1	0	0	0	0
ENSG00000082996	908	146	453	662	398	678	10548	3521	6699	2944	524	1235	422	192
ENSG00000083067	221	13	571	1324	23	1217	1838	74	868	170	29	1022	140	3
ENSG00000083093	89	37	64	225	119	212	575	414	777	325	74	233	51	39
ENSG00000083097	636	174	204	1149	401	606	3053	1691	1657	2182	510	447	179	94
ENSG00000083099	387	167	247	497	310	316	3379	3671	3580	1497	559	638	177	244
ENSG00000083123	198	187	430	310	257	261	2900	2397	2308	849	365	784	90	105
ENSG00000083168	968	638	691	1673	1435	1445	5293	4176	5176	2661	607	1106	528	363
ENSG00000083223	240	122	241	785	1146	873	1208	1828	2045	674	278	411	132	126
ENSG00000083290	1153	288	248	858	211	199	5527	2381	1776	1949	414	425	606	194
ENSG00000083307	4	0	124	7	12	245	65	40	1326	4	0	262	6	1
ENSG00000083312	582	407	641	1068	1340	1179	7971	9613	12898	4422	1540	2294	471	398
ENSG00000083444	652	1455	2328	156	321	351	1929	3553	5870	761	1143	1994	464	776
ENSG00000083454	67	19	4	6	6	1	81	178	48	26	27	0	35	13
ENSG00000083457	126	76	110	91	63	57	667	610	819	272	105	144	48	46
ENSG00000083520	319	144	250	680	573	488	3307	2368	3862	1740	474	767	167	146
ENSG00000083535	77	37	51	429	429	461	667	1010	1255	428	163	218	27	38
ENSG00000083544	151	94	189	381	422	345	1132	1498	1872	434	263	266	112	123
ENSG00000083622	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000083635	97	36	68	143	56	102	970	383	827	484	56	115	65	24
ENSG00000083642	1010	112	204	2162	632	897	8801	2414	4125	1677	378	653	689	141
ENSG00000083720	1874	1544	592	2711	3177	983	13976	20625	5518	2420	3410	1513	679	1525
ENSG00000083750	294	79	166	451	80	189	2284	595	1325	804	212	220	187	46
ENSG00000083782	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000083799	1162	280	323	2265	1092	721	8153	4444	3562	1714	679	731	695	272
ENSG00000083807	236	66	164	62	47	142	754	214	464	159	41	74	141	28
ENSG00000083812	258	92	109	33	12	18	413	179	423	261	62	122	75	30
ENSG00000083814	171	109	88	103	49	98	548	476	757	294	120	102	79	71
ENSG00000083817	43	25	25	89	36	43	199	287	354	102	58	53	21	13
ENSG00000083828	46	57	51	203	241	310	234	291	591	92	43	84	17	35
ENSG00000083838	111	70	77	49	13	31	363	141	356	225	54	97	60	31
ENSG00000083842	9	3	2	9	10	6	98	28	56	35	3	5	15	3
ENSG00000083844	113	80	80	317	167	222	657	458	503	180	75	109	46	28
ENSG00000083845	2311	3604	4822	399	522	341	5284	7603	12487	2365	2298	2984	921	1621
ENSG00000083857	1023	1197	2938	2919	2382	5439	6567	5863	14743	3403	1345	4595	828	498
ENSG00000083896	1061	496	846	2864	1799	2133	7970	3952	7788	2703	940	1252	756	465
ENSG00000083937	374	109	277	725	500	448	5642	3461	5343	1261	495	692	189	152
ENSG00000084070	2239	255	273	2553	743	381	9103	1894	2531	1675	337	323	1643	281
ENSG00000084072	375	312	427	151	81	150	1651	1203	1869	668	344	443	135	138
ENSG00000084073	362	190	601	1449	2022	2538	4416	5930	11088	1158	616	1552	341	390
ENSG00000084090	2046	2132	2278	2816	6470	2177	13087	16064	15360	5376	2071	3065	1560	1189
ENSG00000084092	197	217	241	169	134	106	995	1005	1430	369	148	313	168	96
ENSG00000084093	95	174	222	463	1021	1265	1727	2862	4892	567	529	766	80	108
ENSG00000084110	0	6	4	1	14	8	10	19	11	1	10	4	0	1
ENSG00000084112	600	589	464	407	529	415	2783	3051	3544	1290	1141	835	322	255
ENSG00000084207	1518	2818	4682	164	195	268	4489	5381	20200	1724	1446	2195	1002	1278
ENSG00000084234	8744	4800	14436	10030	9485	13377	41541	32886	64933	12609	7645	16917	4786	4364
ENSG00000084444	1547	39	250	856	45	134	6771	253	1858	1470	48	325	888	17
ENSG00000084453	1917	9	0	2568	36	42	16091	34	187	3539	2	21	829	4
ENSG00000084463	1025	765	790	2504	1484	866	7129	5553	5258	2355	1176	1068	677	377
ENSG00000084623	1087	926	1452	362	303	224	3949	4080	7487	1439	1119	1526	547	486
ENSG00000084628	86	3	9	42	0	0	427	0	19	419	3	2	176	0
ENSG00000084636	1179	416	87	184	143	88	1452	530	1112	2877	603	251	119	124
ENSG00000084652	644	450	1024	1179	1234	1326	2047	2013	6242	1039	526	842	399	250
ENSG00000084674	7	98	28	104	1899	332	82	3645	86	6	630	26	6	131
ENSG00000084676	1620	724	738	2514	1153	1208	11314	5695	6619	4200	1116	1396	1174	542
ENSG00000084693	385	183	798	166	66	223	1079	698	1845	673	248	751	161	105
ENSG00000084710	1328	89	23	618	38	24	2740	326	82	1063	181	32	828	54
ENSG00000084731	9238	69	63	1787	42	16	17360	307	509	5181	136	68	4149	41
ENSG00000084733	1372	576	1107	1899	1105	1226	13561	8739	14541	5247	1178	2339	1357	784
ENSG00000084734	12	3	3	8	7	1	77	5	15	31	0	0	4	0
ENSG00000084754	1664	4287	5467	1420	4014	1856	10816	52774	20021	4911	4140	5058	906	4466
ENSG00000084764	4231	703	603	2304	263	129	10054	2226	1588	1975	494	294	3172	582
ENSG00000084774	482	347	489	101	59	84	908	472	1947	1199	253	335	231	101
ENSG00000085063	2191	3072	4654	2150	3172	2688	21732	37395	52568	4851	4828	6886	1735	3558
ENSG00000085117	507	445	509	148	89	100	1662	976	2662	1476	155	539	476	285
ENSG00000085185	265	252	230	137	219	210	663	774	1305	394	232	227	215	123
ENSG00000085224	1663	413	414	9080	6309	5124	18147	14179	9629	4039	1132	1759	1075	646
ENSG00000085231	712	255	451	721	517	497	5274	3509	4393	1007	496	579	317	299
ENSG00000085265	2	19	31	19	92	9	14	203	120	10	26	24	6	68
ENSG00000085274	100	52	71	115	92	131	1336	1049	1417	517	146	219	68	51
ENSG00000085276	54	122	718	77	624	2330	355	1669	14775	203	733	2102	28	127
ENSG00000085365	1071	145	191	514	185	292	15460	3935	7017	3299	774	1038	845	177
ENSG00000085377	534	384	316	610	515	404	2179	2176	2173	669	425	295	404	254
ENSG00000085382	546	102	248	486	153	259	3452	689	1851	913	157	337	201	49
ENSG00000085415	631	96	258	354	180	275	5202	1185	3661	959	172	416	438	90
ENSG00000085433	2504	155	201	2347	257	196	12747	1722	1789	1937	311	385	1362	146
ENSG00000085449	532	200	399	515	384	465	4577	2135	4681	1570	456	758	374	155
ENSG00000085465	57	19	58	19	5	11	549	33	159	77	14	32	20	4
ENSG00000085491	63	84	164	120	315	417	778	2394	4777	165	365	520	24	111
ENSG00000085511	589	390	374	777	573	485	1582	1703	2048	929	407	455	229	150
ENSG00000085514	45	16	44	24	34	17	158	118	221	156	23	51	23	34
ENSG00000085552	6	16	13	8	19	27	23	15	58	7	26	39	3	2
ENSG00000085563	380	48	1202	893	100	1531	1896	373	4603	682	21	2719	251	25
ENSG00000085644	505	393	195	40	20	35	944	408	512	534	117	134	219	80
ENSG00000085662	1029	1554	567	66	98	90	4657	7503	11948	1646	1617	2236	587	1085
ENSG00000085719	288	586	698	661	1486	1691	5788	11758	13865	3184	1946	2411	336	564
ENSG00000085721	273	176	317	300	234	253	2257	2347	4075	2055	516	512	142	144
ENSG00000085733	3075	2242	5423	2321	1845	2637	7867	8065	14600	3787	1832	2447	1205	1372
ENSG00000085741	14	83	2	8	1	2	26	136	72	3	42	29	1	28
ENSG00000085760	299	250	426	525	719	616	2382	4719	3307	673	547	732	169	372
ENSG00000085788	1612	344	368	1597	584	669	13885	4754	4484	2742	789	877	1013	314
ENSG00000085831	96	205	1689	42	44	382	304	1057	6300	37	174	181	31	115
ENSG00000085832	2368	413	564	3077	1508	1299	25063	8624	7534	3817	1168	1340	1675	344
ENSG00000085840	6	3	17	1	12	6	40	35	49	16	2	13	6	4
ENSG00000085871	62	195	446	37	90	64	456	3358	2443	133	476	584	64	333
ENSG00000085872	657	380	461	111	47	78	764	704	909	620	164	404	407	186
ENSG00000085978	530	220	387	327	150	225	1562	1100	2161	865	330	370	208	113
ENSG00000085982	301	298	676	223	210	589	1475	1429	2909	1017	372	897	75	96
ENSG00000085998	1460	1708	1675	154	111	172	2933	6766	4586	1747	1035	1248	554	1319
ENSG00000085999	21	20	15	8	11	2	116	89	68	40	4	6	7	7
ENSG00000086015	989	3022	755	247	450	140	2207	7096	1478	989	2051	676	697	1246
ENSG00000086061	3839	633	1637	6604	2076	1920	18398	5266	19692	5649	967	2462	1803	454
ENSG00000086062	83	1089	927	425	1597	1557	1015	6653	11484	292	1185	1640	85	651
ENSG00000086065	918	245	772	2922	3433	3911	6709	3223	6676	2003	604	1292	356	260
ENSG00000086102	733	573	650	697	436	422	3602	3595	3328	1549	658	701	388	347
ENSG00000086159	35	0	508	10	1	283	80	13	4508	139	3	511	16	0
ENSG00000086189	300	113	101	986	395	299	5015	2334	1857	1602	277	256	215	144
ENSG00000086200	231	140	123	453	413	326	1640	2866	2306	724	274	357	161	106
ENSG00000086205	451	6	216	189	1	57	3725	14	890	978	11	343	234	6
ENSG00000086232	1519	691	1233	1726	634	900	10428	5533	7899	4077	1215	1682	867	447
ENSG00000086288	1	1	0	1	5	1	6	1	0	7	1	3	0	0
ENSG00000086289	1401	446	392	754	182	166	7055	4097	2910	1180	306	364	646	335
ENSG00000086300	847	8	716	1300	117	1213	8991	304	10834	890	33	619	353	7
ENSG00000086475	415	332	991	143	121	152	1954	2406	4121	1679	470	1095	186	204
ENSG00000086504	1176	715	1079	220	115	107	1875	1301	2298	563	257	494	393	366
ENSG00000086506	39	0	1	8	0	0	21	2	0	5	0	0	5	0
ENSG00000086544	152	213	295	74	27	31	1338	1099	1798	171	183	244	134	201
ENSG00000086548	1	0	0	0	2	1	1	0	0	0	0	9	0	1
ENSG00000086570	31	14	16	114	5	24	57	16	256	31	1	53	6	5
ENSG00000086589	451	214	261	687	277	262	2593	2060	3183	1835	416	509	398	180
ENSG00000086598	817	443	967	1336	907	823	10890	10935	22117	2766	1407	2458	1126	944
ENSG00000086619	138	43	107	229	169	386	1558	1452	3587	582	124	404	65	70
ENSG00000086666	239	241	433	337	410	512	2844	4126	5747	1009	756	921	153	291
ENSG00000086696	2	1	5	11	2	25	14	7	204	0	0	32	7	1
ENSG00000086712	212	68	184	545	412	412	1666	1025	1750	736	172	386	118	94
ENSG00000086717	109	0	2	110	21	22	438	30	54	79	1	1	32	1
ENSG00000086730	69	37	37	172	37	18	777	207	458	213	45	33	138	34
ENSG00000086758	5327	5389	4144	7822	6072	5875	18940	22024	17478	5844	3177	5139	3784	2390
ENSG00000086827	101	73	128	311	338	344	753	707	1360	388	141	225	48	46
ENSG00000086848	109	49	33	75	56	75	963	347	568	416	73	68	118	36
ENSG00000086967	46	2	14	10	11	4	28	0	48	5	0	0	16	0
ENSG00000086991	1	5	1409	45	331	2140	43	330	3548	31	65	3391	3	13
ENSG00000087008	214	227	261	117	120	111	588	914	816	535	334	291	116	119
ENSG00000087053	691	143	382	671	461	595	5903	2949	4714	1623	398	662	602	177
ENSG00000087074	581	950	610	264	463	188	2300	4903	2030	550	1506	424	331	1417
ENSG00000087076	259	33	2227	70	6	114	666	50	1582	215	47	978	179	35
ENSG00000087077	263	480	1522	25	32	97	894	655	2971	518	436	840	122	163
ENSG00000087085	530	29	15	185	8	8	561	42	70	180	74	12	178	12
ENSG00000087086	7473	4554	87395	164	407	1175	27340	26495	170529	9721	9414	46609	5209	4992
ENSG00000087087	1242	940	1541	913	1262	1274	2111	2223	5002	2068	856	929	558	635
ENSG00000087088	251	121	546	39	39	97	507	470	1443	352	105	243	158	160
ENSG00000087095	2024	176	338	1446	260	566	7508	2418	2969	2315	342	536	1246	153
ENSG00000087111	669	773	1166	309	375	417	2292	2219	4292	1625	495	963	482	292
ENSG00000087116	85	251	76	26	345	79	183	421	1272	107	502	59	15	72
ENSG00000087128	0	0	1	0	0	0	0	0	25	0	0	2	0	0
ENSG00000087152	3639	517	664	555	156	146	6446	1739	3515	2191	560	607	2309	411
ENSG00000087157	507	316	349	62	46	55	1089	607	1423	860	251	283	249	91
ENSG00000087191	2462	1263	3232	432	284	365	7787	3929	8550	2152	791	1285	1229	694
ENSG00000087206	164	155	170	416	324	249	1102	1581	1608	462	252	192	104	269
ENSG00000087237	10	20	67	0	5	6	45	94	247	18	15	52	1	14
ENSG00000087245	56	2124	215	51	1697	243	205	8584	4350	794	2623	624	38	1164
ENSG00000087250	6281	109	53	899	2	2	8398	42	44	1310	9	4	1478	9
ENSG00000087253	112	52	112	644	411	397	2944	1729	3551	466	303	550	71	63
ENSG00000087258	7935	529	27	4147	448	56	24569	1238	380	8248	1382	31	6383	206
ENSG00000087263	396	179	294	378	253	244	3549	1778	3790	754	311	345	253	167
ENSG00000087266	332	493	2473	85	106	405	1631	2117	8333	2177	362	1771	210	256
ENSG00000087269	251	169	483	515	649	593	1049	1475	2130	421	248	365	126	214
ENSG00000087274	6631	3257	3298	4956	2738	2241	26261	16314	15750	10179	3127	4387	4034	2128
ENSG00000087299	133	88	517	120	60	235	716	813	1468	317	131	730	39	51
ENSG00000087301	269	30	59	990	390	359	1728	513	731	1080	228	271	136	24
ENSG00000087302	474	626	663	1892	3021	1105	2615	6956	5398	1165	1057	848	204	424
ENSG00000087303	91	982	202	147	461	201	719	3003	1438	327	597	325	56	352
ENSG00000087338	269	59	262	131	66	149	1354	995	2464	711	167	459	53	58
ENSG00000087365	2775	1072	2325	3864	2244	2632	12902	4889	11399	5970	1396	2043	2102	809
ENSG00000087448	957	123	249	1442	291	392	7752	962	3722	2300	220	415	664	72
ENSG00000087460	32360	17918	13204	3491	1548	970	87444	74089	52757	29934	17126	9408	10420	9741
ENSG00000087470	1911	458	543	1578	951	826	13622	7126	7844	4150	1197	1234	1186	526
ENSG00000087494	63	14	15	55	7	5	147	36	13	20	9	1	39	1
ENSG00000087495	1499	42	7	1795	82	32	8164	1068	243	1564	64	32	940	88
ENSG00000087502	287	132	117	632	918	524	2756	3899	3338	1168	445	431	176	251
ENSG00000087510	8	3	2	9	7	10	77	31	214	8	8	31	10	2
ENSG00000087586	21	35	42	27	69	30	83	318	487	56	92	49	21	36
ENSG00000087589	15	2	8	7	21	14	26	62	116	45	19	19	6	3
ENSG00000087842	130	61	152	189	71	65	1059	315	1189	178	126	144	124	33
ENSG00000087884	32	155	79	74	211	84	225	904	419	95	81	105	81	270
ENSG00000087903	121	308	58	14	17	16	703	203	260	261	164	50	80	31
ENSG00000087916	0	0	1	0	4	9	7	3	5	1	0	3	0	1
ENSG00000087995	110	71	116	60	42	36	967	724	1148	505	130	154	45	44
ENSG00000088002	12	2	9	2	0	11	32	16	367	2	1	43	7	2
ENSG00000088035	52	18	50	29	19	45	401	279	982	251	58	152	15	8
ENSG00000088038	675	458	574	189	154	212	1132	692	1755	646	268	369	302	167
ENSG00000088053	8	28	6	4	1	5	86	39	67	5	7	0	4	3
ENSG00000088179	731	175	210	1472	847	1196	4827	3007	3760	1470	440	820	331	134
ENSG00000088205	467	180	370	695	392	448	4535	3074	5911	2742	688	1065	301	204
ENSG00000088247	2267	862	1873	1088	614	549	5872	3159	5031	3529	670	1498	2191	870
ENSG00000088256	1282	1417	1793	84	102	93	2349	3052	3344	762	437	1011	692	758
ENSG00000088280	350	648	1221	179	154	163	1366	2214	3427	493	687	607	247	401
ENSG00000088298	106	173	412	125	110	127	391	564	2272	244	146	281	111	94
ENSG00000088305	22	25	58	3	11	23	81	50	259	68	32	68	11	5
ENSG00000088320	10	78	3	0	7	0	6	81	69	5	37	10	4	17
ENSG00000088325	44	11	12	91	86	11	202	137	60	155	10	8	47	7
ENSG00000088340	28	28	89	14	11	4	98	28	218	18	22	18	5	2
ENSG00000088356	323	129	280	31	13	30	843	437	1080	399	132	186	86	95
ENSG00000088367	6849	362	2622	2112	132	851	24369	2336	9033	4784	717	2714	5181	348
ENSG00000088386	2	0	628	5	3	314	37	28	1452	0	0	125	5	2
ENSG00000088387	2650	610	598	2025	866	627	8977	7913	5868	2199	1031	940	962	646
ENSG00000088448	526	506	736	329	269	356	3120	3605	5985	2183	683	820	131	255
ENSG00000088451	34	24	54	93	116	144	378	221	1344	234	87	213	24	22
ENSG00000088538	3272	194	37	2771	129	33	10688	1183	220	2720	176	18	1726	94
ENSG00000088543	571	669	154	95	76	37	1550	2414	642	708	633	190	309	417
ENSG00000088682	598	2332	2552	186	444	482	1859	7497	6178	1105	1194	1422	377	2117
ENSG00000088726	1	17	2	4	3	1	9	61	62	2	25	2	2	16
ENSG00000088727	111	49	183	146	24	68	371	373	664	127	60	140	68	73
ENSG00000088756	20	5	144	63	33	216	86	157	1862	61	84	363	18	9
ENSG00000088766	252	577	570	80	204	288	2326	7645	5788	1274	754	1053	156	523
ENSG00000088782	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000088808	1037	1812	730	292	507	361	2065	6749	2298	759	1002	563	432	1024
ENSG00000088812	2395	965	1461	2938	1380	1686	8761	5388	7693	3849	1095	1982	1263	538
ENSG00000088826	878	72	124	159	21	10	2849	143	333	1900	97	40	425	42
ENSG00000088827	7	361	110	19	280	16	96	1158	349	88	161	38	3	195
ENSG00000088832	1827	896	1090	680	786	509	6966	9532	13377	2170	1500	1349	990	538
ENSG00000088833	1024	556	705	193	125	133	2681	2475	2436	1144	512	580	541	437
ENSG00000088836	74	11	92	16	3	70	168	16	979	78	4	505	25	5
ENSG00000088854	1374	628	561	694	364	437	5086	3739	4330	2710	909	876	644	323
ENSG00000088876	138	92	147	154	153	166	488	313	775	327	80	143	62	30
ENSG00000088881	414	102	92	11	4	6	485	141	610	1167	61	134	171	45
ENSG00000088882	25	170	171	39	20	16	29	124	531	1174	15	33	13	37
ENSG00000088888	301	806	491	132	311	330	1030	3111	2003	1190	565	674	188	423
ENSG00000088899	4805	427	1559	364	48	132	7056	1057	2130	2148	331	1087	2124	284
ENSG00000088926	3	1	222	7	2	381	34	3	1454	2	0	583	1	0
ENSG00000088930	376	316	708	718	1647	1524	1929	4535	6341	1482	702	1269	167	301
ENSG00000088970	278	122	181	432	313	272	1978	1359	1231	1238	240	228	191	110
ENSG00000088986	3549	688	1251	3536	577	648	14623	2674	13263	3373	939	1320	2804	398
ENSG00000088992	423	913	98	37	23	15	708	1061	606	110	238	60	156	307
ENSG00000089006	432	181	1229	473	602	1214	4509	2729	8471	2224	697	2809	407	191
ENSG00000089009	1475	1250	2659	271	325	393	21242	15305	35367	8943	4188	6206	660	522
ENSG00000089012	0	0	2	4	0	0	9	4	2	3	6	0	2	0
ENSG00000089022	263	157	271	337	257	318	1991	1211	1798	757	221	349	155	109
ENSG00000089041	533	17	12	147	13	5	2154	92	74	1497	64	20	281	10
ENSG00000089048	255	51	111	914	824	689	2217	1621	1866	1072	250	292	173	116
ENSG00000089050	173	76	251	179	88	275	1468	766	2949	819	172	703	108	48
ENSG00000089053	1873	943	1050	437	297	447	6995	4270	6285	4070	1072	1315	718	344
ENSG00000089057	2508	299	358	3133	351	544	9750	1268	2089	5665	663	740	1322	87
ENSG00000089060	203	261	402	38	44	95	700	617	2199	407	264	437	99	100
ENSG00000089063	690	420	895	362	415	526	5029	5729	9556	1408	1037	1830	623	466
ENSG00000089091	125	12	80	77	16	61	388	90	500	182	24	88	64	7
ENSG00000089094	606	205	180	104	41	58	1331	505	845	978	147	188	237	72
ENSG00000089101	25	207	24	37	76	4	103	3260	42	26	21	31	6	253
ENSG00000089116	0	0	0	3	0	0	0	0	0	111	0	0	1	0
ENSG00000089123	154	44	134	230	161	205	574	420	652	183	101	133	61	54
ENSG00000089127	55	101	203	35	64	82	62	322	1243	84	85	183	27	91
ENSG00000089154	1171	1475	1714	434	402	577	2523	3774	6545	2705	1020	1606	624	634
ENSG00000089157	2014	5641	8137	213	426	282	6967	18600	40104	12168	6729	7303	555	1213
ENSG00000089159	240	962	1273	73	168	200	1524	3171	4330	848	1108	1262	257	577
ENSG00000089163	29	35	37	8	0	4	71	129	157	51	40	55	18	31
ENSG00000089169	5706	1	2	1343	33	87	13168	6	4	3731	0	0	4392	12
ENSG00000089177	275	205	517	604	561	731	1181	1733	2056	296	327	704	143	139
ENSG00000089195	240	74	163	326	269	231	1969	920	1494	458	154	244	155	121
ENSG00000089199	4786	43	97	12303	1321	1797	15291	783	1622	4348	874	66	2594	148
ENSG00000089220	11452	5797	12789	2510	1322	2599	46250	23637	48609	10180	4325	15082	7740	2959
ENSG00000089225	1	1230	0	7	496	0	18	3249	0	7	2364	0	1	387
ENSG00000089234	375	173	311	692	374	321	2248	1377	1713	943	207	298	216	126
ENSG00000089248	987	545	2507	976	582	995	3139	1872	7511	1004	607	1759	543	403
ENSG00000089250	406	14	221	896	29	269	1068	65	901	198	10	330	259	12
ENSG00000089280	6306	2839	4193	4509	2702	3655	16917	5453	11947	8486	1828	1995	3084	1343
ENSG00000089289	464	394	693	146	128	114	1987	2458	2109	903	561	662	199	221
ENSG00000089327	86	258	113	136	361	109	509	767	957	170	244	128	66	167
ENSG00000089335	402	187	160	348	343	293	2664	2459	2544	1461	592	431	126	92
ENSG00000089351	613	411	516	34	53	27	950	792	978	446	238	272	305	189
